Country Code,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
IDN,Indonesia,"Literacy rate, adult total (% of people ages 15 and above)",,,,90.38478851,,91.98226929,,92.19229889,92.58170319,,92.81191254,,,95.11621857,95.21793365,95.37696838,,95.65856171,,95.99900818
IDX,IDA only,"Literacy rate, adult total (% of people ages 15 and above)",54.08272934,54.8130188,55.55612183,56.71012115,56.55477905,55.70996857,55.52550125,57.61968994,57.88134003,58.46443176,58.6186409,59.26576996,60.53036118,61.27156067,62.39786911,64.25295258,64.97927856,65.49887085,66.05657196,66.58264923
IMN,Isle of Man,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
IND,India,"Literacy rate, adult total (% of people ages 15 and above)",61.0145607,,,,,62.75447083,,,,,69.3025589,,,,,,,74.37299347,,
INX,Not classified,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
IRL,Ireland,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
IRN,"Iran, Islamic Rep.","Literacy rate, adult total (% of people ages 15 and above)",,77,,,82.44120026,82.33132172,,82.96230316,,,,83.62599182,84.62680054,84.70523834,,85.54425049,,,,
IRQ,Iraq,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,77.19999695,72.69999695,82.19999695,,83.30000305,85.59999847,,,
ISL,Iceland,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
ISR,Israel,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
ITA,Italy,"Literacy rate, adult total (% of people ages 15 and above)",98.41661835,,,,,,,,,,98.84828186,,,,,,,99.15576172,,
JAM,Jamaica,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,88.09999847,,,,,,
JOR,Jordan,"Literacy rate, adult total (% of people ages 15 and above)",,,89.89231873,,91.13075256,,92.19957733,,,92.55104065,95.90444946,97.89031982,,,,,,98.22711182,,
JPN,Japan,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,99.73240662,99.78163147,,,,,,,,99.78163147,,
KEN,Kenya,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,72.1570282,,,,,,,78.73303986,,,,81.53497314,,
KGZ,Kyrgyz Republic,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,99.24343109,,,,,,,,,99.58599854,,
KHM,Cambodia,"Literacy rate, adult total (% of people ages 15 and above)",,,,73.6099472,,,,76.87129211,76.13796234,,,,,78.05509186,80.52648926,,,,,
KIR,Kiribati,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
KOR,"Korea, Rep.","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,97.96594238,,,,,,,,,,,,
KWT,Kuwait,"Literacy rate, adult total (% of people ages 15 and above)",,,,,93.27445984,93.28211975,93.6641922,93.89830017,,94.4690094,,95.51316833,95.58582306,,95.68544769,,96.03594971,96.05647278,,96.45754242
LAC,Latin America & Caribbean (excluding high income),"Literacy rate, adult total (% of people ages 15 and above)",88.7828598,88.8950882,89.70629883,89.68012238,90.17938232,90.18083191,90.70818329,90.98342896,91.38371277,91.39028931,92.01399994,92.23848724,92.31037903,92.76419067,92.95179749,93.42559052,93.57028198,93.72753143,94.17028046,94.33152771
LAO,Lao PDR,"Literacy rate, adult total (% of people ages 15 and above)",68.73439026,,,,72.70226288,,,,,,58.28794098,,,,84.66104126,,,,,
LBN,Lebanon,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,89.61244202,,91.18418884,,,,,,,,,95.06944275,,
LBR,Liberia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,42.94107819,,,,,,,,,,48.30136108,,,
LBY,Libya,"Literacy rate, adult total (% of people ages 15 and above)",,,,86.09999847,,,,,,,,,,,,,,,,
LCA,St. Lucia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
LCN,Latin America & Caribbean,"Literacy rate, adult total (% of people ages 15 and above)",89.12870026,89.2387619,90.00466919,89.98625183,90.46388245,90.47693634,91.05056,91.28936768,91.66851044,91.64585876,92.23796082,92.46115875,92.50705719,92.94821167,93.13275146,93.59496307,93.70874786,93.86865997,94.29450989,94.45123291
LDC,Least developed countries: UN classification,"Literacy rate, adult total (% of people ages 15 and above)",52.2954216,52.94678879,53.79362869,55.00780869,54.78102112,53.78543854,53.34183121,55.55593872,56.15462875,56.6507988,56.76771164,57.50632095,58.87498856,59.62564087,60.87612152,62.89241028,63.68294144,64.27587891,64.85780334,65.41577911
LIC,Low income,"Literacy rate, adult total (% of people ages 15 and above)",51.44028854,52.09558868,52.57358932,54.10161972,53.38972092,51.52450943,52.86407852,53.29275131,53.79566956,54.25215912,56.16062164,56.63293839,57.62022018,58.02705002,58.5800209,59.28538895,60.10514832,60.49671173,60.95804977,61.3689003
LIE,Liechtenstein,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,"Literacy rate, adult total (% of people ages 15 and above)",90.68274689,,,,,90.80883026,,90.55795288,,91.18135834,,,,,,92.38690186,91.89575195,91.70982361,92.25296021,
LMC,Lower middle income,"Literacy rate, adult total (% of people ages 15 and above)",64.61197662,65.44853973,66.3755722,67.12634277,66.75080872,67.54707336,67.3390274,68.59632111,69.28161621,70.50018311,70.71012115,71.58627319,72.10707092,72.8635788,73.63826752,74.35328674,75.00414276,75.431633,75.96756744,76.48845673
LMY,Low & middle income,"Literacy rate, adult total (% of people ages 15 and above)",77.71520233,78.17275238,78.82447815,79.3366394,79.26995087,79.54496002,79.91947174,80.50469971,80.87705994,81.40622711,81.6724472,82.20670319,82.45152283,82.93345642,83.14720154,83.6880188,83.97683716,84.00708771,84.29309082,84.54367065
LSO,Lesotho,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,75.80020142,,,,,76.6352005,,,,,,
LTE,Late-demographic dividend,"Literacy rate, adult total (% of people ages 15 and above)",91.58641052,91.90461731,92.29730988,92.54673004,92.87256622,93.09867096,94.08682251,94.30425262,94.5845871,94.60774994,95.12831879,95.30020142,95.36569977,95.53117371,95.6782608,95.87560272,96.01103973,96.15605927,96.34008026,96.47219849
LTU,Lithuania,"Literacy rate, adult total (% of people ages 15 and above)",99.64575195,,,,,,,,,,99.81559753,,,,,,,,,
LUX,Luxembourg,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
LVA,Latvia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,99.89589691,,,,,,,99.88931274,,
MAC,"Macao SAR, China","Literacy rate, adult total (% of people ages 15 and above)",91.29537201,,,,,93.49974823,,,,,95.64003754,,,,,96.5384903,,,,
MAF,St. Martin (French part),"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
MAR,Morocco,"Literacy rate, adult total (% of people ages 15 and above)",,,,52.30625916,,,,55.1479187,56.08367157,,67.08415985,69.42539215,,75.5861969,,,,73.75000763,,
MCO,Monaco,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
MDA,Moldova,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,99.3598938,,,,,,
MDG,Madagascar,"Literacy rate, adult total (% of people ages 15 and above)",,,,,58.93593979,,,,64.48091125,,,71.57261658,,,,,,76.67967987,,
MDV,Maldives,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,98.39790344,,,,,,,,98.61012268,,97.7349472,,,,
MEA,Middle East & North Africa,"Literacy rate, adult total (% of people ages 15 and above)",70.23477173,70.68380737,73.94261169,74.85119629,74.43711853,74.57665253,75.07904053,75.76853943,75.66799164,76.48091888,77.26802063,79.89382172,79.69486237,81.14234161,79.43242645,80.45519257,81.52539825,78.98143005,79.31014252,79.64868164
MEX,Mexico,"Literacy rate, adult total (% of people ages 15 and above)",,90.27465057,,90.95374298,91.63027191,91.73451996,92.79517365,92.92559814,93.44187927,93.06893921,93.51998138,94.22840118,93.96285248,94.55587769,94.47228241,94.85961914,94.97277832,95.37991333,,95.24784851
MHL,Marshall Islands,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,98.26508331,,,,,,,,,
MIC,Middle income,"Literacy rate, adult total (% of people ages 15 and above)",79.56095123,80.02049255,80.70118713,81.15908813,81.16108704,81.61647034,81.94612885,82.57232666,82.96507263,83.5306778,83.69687653,84.26535797,84.4799881,84.99931335,85.21755219,85.77729034,86.05455017,86.08866119,86.39626312,86.67131042
MKD,North Macedonia,"Literacy rate, adult total (% of people ages 15 and above)",,96.12892914,,,,,,,,,,,,97.80000305,,,,,,98.36357117
MLI,Mali,"Literacy rate, adult total (% of people ages 15 and above)",,,24,,,26.17654991,,,,31.09975052,30.61866951,,,,33.06888962,,,35.47377014,,30.76140976
MLT,Malta,"Literacy rate, adult total (% of people ages 15 and above)",,,,,92.36309052,,,,,,93.30735779,,,,,,,94.50318909,,
MMR,Myanmar,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,75.55120087,,,89.06994629,
MNA,Middle East & North Africa (excluding high income),"Literacy rate, adult total (% of people ages 15 and above)",68.42131042,68.73655701,72.39302063,73.29116821,72.70404816,72.69731903,73.11501312,73.71544647,73.45040894,74.27388,74.5091095,77.51190948,77.14050293,78.79463196,76.62332153,77.81655884,79.03476715,75.96434021,76.34240723,76.71839142
MNE,Montenegro,"Literacy rate, adult total (% of people ages 15 and above)",,,97.77346039,,,,,,,,98.44220734,,,,,,,98.84718323,,
MNG,Mongolia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,98.25700378,,,,,,,,98.42311859,,99.18327332
MNP,Northern Mariana Islands,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,"Literacy rate, adult total (% of people ages 15 and above)",,,48.15884018,,,,,,50.5838089,,,,,,56.03900146,,60.65542984,,,
